City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Berlevåg,70.8578,29.0864,35.6,86,100,37.98,NO,1675707366
120,Sarankhola,22.3082,89.7897,64.17,78,3,3.22,BD,1675707728
121,Mar del Plata,-38.0023,-57.5575,76.82,66,0,18.41,AR,1675707183
122,San Quintín,30.4833,-115.95,58.86,52,36,15.84,MX,1675707340
123,Klaksvík,62.2266,-6.589,45.52,94,100,31.14,FO,1675707279
124,Hong Kong,22.2855,114.1577,68.95,90,82,5.99,HK,1675707193
125,Kavieng,-2.5744,150.7967,80.98,79,100,10.4,PG,1675707339
126,Manggar,-2.8833,108.2667,78.49,86,65,6.53,ID,1675707729
127,Banda Aceh,5.5577,95.3222,78.03,83,100,3.33,ID,1675707690
128,Camacupa,-12.0167,17.4833,64.29,83,100,1.54,AO,1675707729
129,Tirodi,21.6833,79.7,67.42,26,0,4.23,IN,1675707730
130,Port Moresby,-9.4431,147.1797,74.62,94,75,11.5,PG,1675707730
131,Buraidah,26.326,43.975,66.65,24,37,8.08,SA,1675707731
132,Mayskiy,47.6931,40.1025,22.41,88,100,15.77,RU,1675707731
133,Zhigansk,66.7697,123.3711,-54.58,100,72,0.49,RU,1675707731
134,Vila Velha,-20.3297,-40.2925,84.15,79,20,14.97,BR,1675707327
135,Guerrero Negro,27.9769,-114.0611,61.05,60,78,25.12,MX,1675707348
136,Areia Branca,-4.9561,-37.1369,93.4,65,72,14.67,BR,1675707732
137,Ndélé,8.4109,20.6473,82.83,13,22,5.14,CF,1675707732
138,Ponta do Sol,32.6667,-17.1,63.72,58,10,7.78,PT,1675707342
139,Anloga,5.7947,0.8973,81.86,82,65,15.93,GH,1675707622
140,Vanimo,-2.6741,141.3028,77.0,89,100,4.56,PG,1675707733
141,Cayenne,4.9333,-52.3333,78.84,89,100,13.8,GF,1675707637
142,Geraldton,-28.7667,114.6,66.61,77,40,11.5,AU,1675707575
143,Cape Town,-33.9258,18.4232,75.34,78,20,13.8,ZA,1675707192
144,Mahébourg,-20.4081,57.7,80.89,78,40,6.91,MU,1675707101
145,Ust'-Karsk,52.7011,118.8077,-21.66,100,66,3.0,RU,1675707734
146,Marathon,44.9,-89.7668,33.04,72,0,12.66,US,1675707734
147,Makokou,0.5738,12.8642,75.88,70,86,2.95,GA,1675707735
148,Chui,-33.6971,-53.4616,84.0,40,54,8.84,UY,1675707325
149,Berbera,10.4396,45.0143,76.37,66,65,5.68,SO,1675707735
150,Rancho Cordova,38.5891,-121.3027,52.99,77,0,11.5,US,1675707479
151,Cabo San Lucas,22.8909,-109.9124,79.52,47,0,4.61,MX,1675707735
152,Timbiquí,2.7717,-77.6654,85.51,66,89,6.02,CO,1675707736
153,Provideniya,64.3833,-173.3,-9.65,98,82,3.31,RU,1675707599
154,Jaguaquara,-13.5306,-39.9708,89.1,31,61,2.55,BR,1675707736
155,Qurayyat,31.3318,37.3428,50.18,40,40,11.5,SA,1675707736
156,Ismailia,30.6043,32.2723,54.36,51,99,15.68,EG,1675707737
157,Lavrentiya,65.5833,-171.0,-19.05,89,44,5.61,RU,1675707154
158,Kerema,-7.9631,145.7785,76.33,90,100,3.18,PG,1675707737
159,Kjøllefjord,70.9457,27.3465,37.45,93,75,37.98,NO,1675707672
160,Botngård,63.7653,9.8111,46.78,87,75,10.36,NO,1675707738
161,Anking,30.5092,117.0506,48.67,92,100,4.56,CN,1675707738
162,Shimoda,34.6667,138.95,44.1,53,100,5.79,JP,1675707738
163,Soubre,5.7856,-6.6083,86.58,54,91,6.76,CI,1675707739
164,Marsh Harbour,26.5412,-77.0636,73.33,64,18,13.51,BS,1675707739
165,Grindavik,63.8424,-22.4338,32.47,86,75,34.52,IS,1675707686
166,Majur,44.7697,19.6544,30.97,62,79,4.72,RS,1675707740
167,Ekhabi,53.5102,142.9671,-16.44,98,65,8.72,RU,1675707740
168,Port Elizabeth,-33.918,25.5701,77.09,87,20,5.75,ZA,1675707198
169,Tautira,-17.7333,-149.15,80.13,77,31,15.52,PF,1675707688
170,Constitución,-35.3333,-72.4167,71.26,61,12,11.92,CL,1675707325
171,Thompson,55.7435,-97.8558,17.76,86,100,2.3,CA,1675707648
172,Staryy Nadym,65.6118,72.6842,-16.37,100,92,4.5,RU,1675707723
173,Gazojak,41.1875,61.4036,38.77,60,81,10.71,TM,1675707741
174,Kiryat Gat,31.61,34.7642,49.41,100,96,25.9,IL,1675707741
175,Rivadavia,-33.1905,-68.4608,96.66,15,0,15.35,AR,1675707460
176,Yumen,40.2833,97.2,26.49,43,48,7.16,CN,1675707608
177,Padang,-0.9492,100.3543,77.05,74,99,4.0,ID,1675707594
178,Tuatapere,-46.1333,167.6833,58.28,80,83,8.41,NZ,1675707320
179,Cap Malheureux,-19.9842,57.6142,79.47,79,95,5.01,MU,1675707742
180,Mahibadhoo,3.7833,72.9667,81.12,71,100,11.74,MV,1675707742
181,Arman',59.7,150.1667,-19.34,83,76,8.72,RU,1675707743
182,Barra do Garças,-15.89,-52.2567,75.78,94,75,6.91,BR,1675707743
183,Mujiayingzi,42.1167,118.7833,20.41,42,100,2.8,CN,1675707743
184,Province of Trapani,37.8333,12.6667,42.89,81,40,3.44,IT,1675707744
185,Qasigiannguit,68.8193,-51.1922,-3.75,98,100,3.78,GL,1675707744
186,Abomey-Calavi,6.4485,2.3557,84.06,79,20,12.66,BJ,1675707745
